Datacycle,press,temp2,cond2,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin2,potemp2
53.0,107.0,12.8197,41.5712,0.0,224.2718,-0.0021,0.1132,5.9608,212.3559,48.8397,-16.4977,0.0,0.0,3.3083,-0.0001,5.9222,35.7033,12.805
54.0,109.0,12.8096,41.5608,0.0,224.1801,-0.0021,0.1086,6.6591,212.356,48.8397,-16.4977,0.0,0.0,3.306,-0.0003,5.924,35.7019,12.7946
55.0,111.0,12.8066,41.558,0.0,223.959,-0.0021,0.1087,6.6083,212.356,48.8397,-16.4977,0.0,0.0,3.3049,-0.0008,5.9239,35.7014,12.7915
56.0,113.0,12.7924,41.5432,0.0,223.9787,-0.0021,0.1047,7.312,212.3561,48.8397,-16.4977,0.0,0.0,3.3014,-0.0002,5.9263,35.6995,12.7768
57.0,115.0,12.7841,41.5337,0.0,223.9265,-0.0021,0.1074,6.8161,212.3561,48.8397,-16.4977,0.0,0.0,3.3003,-0.0004,5.9278,35.6978,12.7685
58.0,117.0,12.7595,41.5072,0.0,223.7911,-0.0021,0.1046,7.3173,212.3562,48.8397,-16.4977,0.0,0.0,3.2964,-0.0002,5.9299,35.6944,12.7435
59.0,119.0,12.7496,41.497,0.0,223.8816,-0.0021,0.1066,6.9593,212.3563,48.8397,-16.4977,0.0,0.0,3.2955,-0.0003,5.9318,35.6931,12.7334
60.0,121.0,12.7395,41.4858,0.0,223.6342,-0.0021,0.1064,6.9964,212.3564,48.8397,-16.4977,0.0,0.0,3.2926,-0.0006,5.9332,35.6911,12.723
61.0,123.0,12.7165,41.4602,0.0,223.611,-0.0021,0.1068,6.9247,212.3564,48.8397,-16.4977,0.0,0.0,3.2897,-0.0004,5.9368,35.6872,12.6998
62.0,125.0,12.6936,41.435,0.0,223.3227,-0.0021,0.1063,6.9856,212.3565,48.8397,-16.4977,0.0,0.0,3.2859,-0.0009,5.9391,35.6839,12.6766
63.0,127.0,12.6809,41.4213,0.0,223.3045,-0.0021,0.1058,7.1147,212.3566,48.8397,-16.4977,0.0,0.0,3.2832,-0.0004,5.9405,35.6819,12.6637
64.0,129.0,12.6674,41.4068,0.0,223.2958,-0.0021,0.1007,8.3177,212.3566,48.8397,-16.4977,0.0,0.0,3.2814,-0.0002,5.942,35.6796,12.6499
65.0,131.0,12.6581,41.3963,0.0,223.3327,-0.0021,0.0803,13.4527,212.3567,48.8397,-16.4977,0.0,0.0,3.2796,-0.0001,5.9443,35.6777,12.6404
66.0,133.0,12.6345,41.3701,0.0,223.3978,-0.0021,0.0789,13.8962,212.3568,48.8397,-16.4976,0.0,0.0,3.279,-0.0002,5.9473,35.6738,12.6164
67.0,135.0,12.6148,41.3472,0.0,223.2436,-0.0021,0.0792,13.8189,212.3568,48.8396,-16.4976,0.0,0.0,3.2772,-0.001,5.9515,35.6698,12.5966
68.0,137.0,12.5773,41.3053,0.0,223.449,-0.0021,0.0771,14.5403,212.3569,48.8396,-16.4976,0.0,0.0,3.2742,0.0004,5.9537,35.6638,12.5588
69.0,139.0,12.5692,41.2967,0.0,223.9372,-0.0021,0.0778,14.2675,212.357,48.8396,-16.4976,0.0,0.0,3.2784,0.0005,5.9544,35.6623,12.5504
70.0,141.0,12.5683,41.2966,0.0,223.6428,-0.0021,0.0782,14.1595,212.357,48.8396,-16.4976,0.0,0.0,3.2762,-0.0002,5.9546,35.6623,12.5493
71.0,143.0,12.5665,41.2954,0.0,223.619,-0.0021,0.0786,14.0287,212.3571,48.8396,-16.4976,0.0,0.0,3.2757,-0.0004,5.955,35.662,12.5473
72.0,145.0,12.5629,41.2922,0.0,223.7758,-0.0021,0.0788,13.9631,212.3572,48.8396,-16.4976,0.0,0.0,3.2752,0.0,5.9557,35.6613,12.5433
73.0,147.0,12.5518,41.2804,0.0,223.8835,-0.0021,0.0787,13.9714,212.3573,48.8396,-16.4976,0.0,0.0,3.2746,0.0001,5.9576,35.6593,12.5319
74.0,149.0,12.5355,41.2617,0.0,223.5315,-0.0021,0.0784,14.0879,212.3573,48.8396,-16.4976,0.0,0.0,3.2719,-0.001,5.9594,35.656,12.5154
75.0,151.0,12.5286,41.2547,0.0,223.7857,-0.0021,0.0783,14.1058,212.3574,48.8396,-16.4976,0.0,0.0,3.2718,-0.0003,5.9609,35.6552,12.5083
76.0,153.0,12.5078,41.2316,0.0,223.9678,-0.0021,0.0787,13.9734,212.3575,48.8396,-16.4976,0.0,0.0,3.2715,0.0,5.963,35.6513,12.4871
77.0,155.0,12.4976,41.2213,0.0,223.3979,-0.0021,0.0788,13.9495,212.3575,48.8396,-16.4976,0.0,0.0,3.2671,-0.0014,5.9645,35.6503,12.4767
78.0,157.0,12.493,41.2177,0.0,223.0995,-0.0021,0.0791,13.8576,212.3576,48.8396,-16.4976,0.0,0.0,3.2619,-0.0008,5.9632,35.6503,12.4719
79.0,159.0,12.5129,41.2465,0.0,220.8105,-0.0021,0.0783,14.0901,212.3577,48.8396,-16.4976,0.0,0.0,3.2474,-0.0058,5.9607,35.6584,12.4914
80.0,161.0,12.5199,41.2552,0.0,220.7268,-0.0021,0.0782,14.1743,212.3577,48.8396,-16.4976,0.0,0.0,3.2378,-0.002,5.96,35.6596,12.4982
81.0,163.0,12.5316,41.2717,0.0,219.8008,-0.0021,0.0789,13.9135,212.3578,48.8396,-16.4976,0.0,0.0,3.225,-0.0017,5.9593,35.6633,12.5096
82.0,165.0,12.5261,41.2672,0.0,218.0948,-0.0021,0.0787,13.9627,212.3579,48.8396,-16.4976,0.0,0.0,3.2106,-0.0043,5.9606,35.6633,12.5039
83.0,167.0,12.5145,41.2545,0.0,217.8269,-0.0021,0.0789,13.9234,212.3579,48.8396,-16.4976,0.0,0.0,3.2001,-0.0017,5.9627,35.6613,12.4921
84.0,169.0,12.4886,41.2256,0.0,217.0686,-0.0021,0.074,15.7666,212.358,48.8396,-16.4976,0.0,0.0,3.1878,-0.0012,5.9654,35.6568,12.4658
85.0,171.0,12.4773,41.2134,0.0,216.6181,-0.0021,0.0703,17.2721,212.3581,48.8396,-16.4976,0.0,0.0,3.1818,-0.0016,5.9669,35.6549,12.4543
86.0,173.0,12.4627,41.1968,0.0,216.458,-0.0021,0.071,16.9459,212.3581,48.8396,-16.4976,0.0,0.0,3.1772,-0.0014,5.9714,35.652,12.4395
87.0,175.0,12.4032,41.13,0.0,214.9631,-0.0021,0.0703,17.2597,212.3582,48.8396,-16.4976,0.0,0.0,3.1587,-0.0021,5.9768,35.6426,12.3797
88.0,177.0,12.3851,41.11,0.0,213.3743,-0.0021,0.0689,17.8396,212.3583,48.8396,-16.4976,0.0,0.0,3.146,-0.005,5.9786,35.6396,12.3614
89.0,179.0,12.3803,41.1064,0.0,213.1489,-0.0021,0.0701,17.3318,212.3583,48.8396,-16.4976,0.0,0.0,3.1361,-0.0024,5.9792,35.6402,12.3564
90.0,181.0,12.371,41.0978,0.0,211.1206,-0.0021,0.0708,17.0488,212.3584,48.8396,-16.4976,0.0,0.0,3.1125,-0.0029,5.9809,35.6395,12.3467
91.0,183.0,12.357,41.0831,0.0,209.0391,-0.0021,0.0701,17.3536,212.3585,48.8396,-16.4976,0.0,0.0,3.0924,-0.0056,5.9841,35.6377,12.3325
92.0,185.0,12.3403,41.0649,0.0,209.384,-0.0021,0.0696,17.5417,212.3586,48.8396,-16.4976,0.0,0.0,3.0838,-0.0009,5.9864,35.6352,12.3156
93.0,187.0,12.3001,41.0178,0.0,211.7048,-0.0021,0.0682,18.1649,212.3587,48.8395,-16.4976,0.0,0.0,3.0996,0.002,5.9924,35.6266,12.2752
94.0,189.0,12.2873,41.0042,0.0,212.5903,-0.0021,0.0701,17.3451,212.3587,48.8396,-16.4975,0.0,0.0,3.1066,0.004,5.9902,35.6248,12.2622
95.0,191.0,12.2522,40.9643,0.0,214.8885,-0.0021,0.0703,17.2604,212.3588,48.8395,-16.4975,0.0,0.0,3.1309,0.0032,5.9986,35.6185,12.2267
96.0,193.0,12.196,40.9002,0.0,217.6196,-0.0021,0.0691,17.7443,212.3589,48.8395,-16.4975,0.0,0.0,3.1568,0.0036,6.0065,35.6087,12.1704
97.0,195.0,12.1825,40.8854,0.0,218.5686,-0.0021,0.0699,17.4417,212.3589,48.8395,-16.4975,0.0,0.0,3.1699,0.003,6.0057,35.6065,12.1566
98.0,197.0,12.1558,40.8565,0.0,220.1677,-0.0021,0.07,17.3866,212.359,48.8395,-16.4975,0.0,0.0,3.187,0.0027,6.0092,35.6025,12.1297
99.0,199.0,12.1467,40.8479,0.0,218.2784,-0.0021,0.0702,17.2793,212.359,48.8395,-16.4975,0.0,0.0,3.1813,-0.0035,6.0071,35.6021,12.1204
100.0,201.0,12.1711,40.8816,0.0,214.3124,-0.0021,0.0706,17.1107,212.3591,48.8395,-16.4975,0.0,0.0,3.1427,-0.0067,6.0067,35.6109,12.1445
101.0,203.0,12.1655,40.8767,0.0,214.4071,-0.0021,0.071,16.947,212.3592,48.8395,-16.4975,0.0,0.0,3.1299,-0.0014,6.0072,35.6105,12.1386
102.0,205.0,12.1649,40.8771,0.0,213.9736,-0.0021,0.071,16.9973,212.3592,48.8395,-16.4975,0.0,0.0,3.123,-0.0011,6.0077,35.6108,12.1377
103.0,207.0,12.1589,40.8715,0.0,214.0745,-0.0021,0.0702,17.2739,212.3593,48.8395,-16.4975,0.0,0.0,3.12,0.0001,6.0086,35.6099,12.1315
104.0,209.0,12.1467,40.8595,0.0,213.3573,-0.0021,0.0703,17.2466,212.3594,48.8395,-16.4975,0.0,0.0,3.1161,-0.0023,6.0103,35.609,12.119
105.0,211.0,12.1354,40.8488,0.0,212.8015,-0.0021,0.0702,17.2987,212.3595,48.8395,-16.4975,0.0,0.0,3.1053,-0.0008,6.0112,35.6084,12.1074
106.0,213.0,12.1343,40.849,0.0,212.1153,-0.0021,0.0696,17.572,212.3595,48.8395,-16.4976,0.0,0.0,3.0961,-0.0007,6.0121,35.6085,12.106
107.0,215.0,12.127,40.8414,0.0,211.5515,-0.0021,0.0704,17.2073,212.3596,48.8395,-16.4975,0.0,0.0,3.0919,-0.002,6.0136,35.6075,12.0986
108.0,217.0,12.0918,40.8006,0.0,210.6487,-0.0021,0.0712,16.8829,212.3597,48.8395,-16.4976,0.0,0.0,3.0779,-0.0016,6.0184,35.6004,12.0631
109.0,219.0,12.0739,40.7805,0.0,211.2293,-0.0021,0.0711,16.9341,212.3597,48.8395,-16.4976,0.0,0.0,3.0787,0.0003,6.02,35.5969,12.045
110.0,221.0,12.0637,40.7696,0.0,212.0225,-0.0021,0.0712,16.8691,212.3598,48.8395,-16.4976,0.0,0.0,3.0842,0.0012,6.0209,35.5952,12.0346
111.0,223.0,12.0602,40.7667,0.0,211.8835,-0.0021,0.0706,17.1226,212.3598,48.8395,-16.4975,0.0,0.0,3.0847,0.0001,6.0217,35.595,12.0308
112.0,225.0,12.0495,40.756,0.0,213.067,-0.0021,0.0705,17.1536,212.3599,48.8395,-16.4976,0.0,0.0,3.0934,0.0015,6.0236,35.5936,12.0199
113.0,227.0,12.029,40.7329,0.0,215.3688,-0.0021,0.0701,17.3291,212.36,48.8395,-16.4975,0.0,0.0,3.115,0.0024,6.027,35.5895,11.9991
114.0,229.0,12.0166,40.7185,0.0,217.1382,-0.0021,0.07,17.3853,212.36,48.8395,-16.4975,0.0,0.0,3.1278,0.0055,6.0276,35.5868,11.9866
115.0,231.0,11.9959,40.6964,0.0,217.2574,-0.0021,0.0703,17.2611,212.3601,48.8395,-16.4975,0.0,0.0,3.1395,0.0005,6.0305,35.5839,11.9655
116.0,233.0,11.9813,40.6817,0.0,217.5924,-0.0021,0.0701,17.3231,212.3602,48.8395,-16.4975,0.0,0.0,3.1388,0.0018,6.0318,35.5827,11.9508
117.0,235.0,11.9809,40.6853,0.0,220.3655,-0.0021,0.0704,17.2209,212.3603,48.8395,-16.4975,0.0,0.0,3.1672,0.003,6.0314,35.5854,11.95
118.0,237.0,11.9824,40.6888,0.0,220.1144,-0.0021,0.0702,17.3088,212.3603,48.8395,-16.4975,0.0,0.0,3.1708,0.0,6.0315,35.5867,11.9513
119.0,239.0,11.9787,40.6865,0.0,220.0069,-0.0021,0.0707,17.0817,212.3604,48.8395,-16.4975,0.0,0.0,3.1696,-0.0001,6.0322,35.5871,11.9473
120.0,241.0,11.9652,40.6723,0.0,219.9063,-0.0021,0.0712,16.8775,212.3605,48.8395,-16.4975,0.0,0.0,3.1677,-0.0007,6.0352,35.5853,11.9335
121.0,243.0,11.9406,40.6458,0.0,219.7261,-0.0021,0.0705,17.1539,212.3606,48.8394,-16.4975,0.0,0.0,3.1631,-0.0003,6.0376,35.5817,11.9087
122.0,245.0,11.9334,40.6396,0.0,219.7127,-0.0021,0.07,17.3891,212.3606,48.8394,-16.4975,0.0,0.0,3.1621,-0.0003,6.0382,35.582,11.9013
123.0,247.0,11.9259,40.6338,0.0,219.6954,-0.0021,0.0701,17.3395,212.3607,48.8394,-16.4975,0.0,0.0,3.1605,-0.0001,6.039,35.5824,11.8936
124.0,249.0,11.9198,40.6285,0.0,220.0165,-0.0021,0.07,17.3759,212.3608,48.8394,-16.4975,0.0,0.0,3.1618,0.0002,6.041,35.5822,11.8872
125.0,251.0,11.8958,40.602,0.0,220.0805,-0.0021,0.0698,17.5077,212.3608,48.8394,-16.4975,0.0,0.0,3.1608,-0.0005,6.0476,35.578,11.863
126.0,253.0,11.8446,40.5441,0.0,219.7705,-0.0021,0.0693,17.6719,212.3609,48.8394,-16.4975,0.0,0.0,3.1553,-0.0012,6.0507,35.5695,11.8116
127.0,255.0,11.7991,40.4912,0.0,219.8084,-0.0021,0.0699,17.4258,212.3609,48.8394,-16.4975,0.0,0.0,3.1525,-0.0004,6.0574,35.5602,11.7659
128.0,257.0,11.77,40.4586,0.0,222.8632,-0.0021,0.0703,17.2388,212.361,48.8394,-16.4975,0.0,0.0,3.1701,0.0055,6.0607,35.5552,11.7366
129.0,259.0,11.759,40.4481,0.0,224.455,-0.0021,0.0705,17.158,212.3611,48.8394,-16.4975,0.0,0.0,3.193,0.0033,6.0614,35.5544,11.7254
130.0,261.0,11.7537,40.4433,0.0,224.9057,-0.0021,0.0701,17.3415,212.3612,48.8394,-16.4975,0.0,0.0,3.2024,0.001,6.0637,35.554,11.7199
131.0,263.0,11.7381,40.4289,0.0,225.7456,-0.0021,0.0703,17.2862,212.3612,48.8394,-16.4975,0.0,0.0,3.2107,0.0011,6.0648,35.5538,11.704
132.0,265.0,11.7085,40.3999,0.0,225.8357,-0.0021,0.0704,17.2206,212.3613,48.8394,-16.4975,0.0,0.0,3.2122,0.0001,6.0685,35.5524,11.6741
133.0,267.0,11.6986,40.3901,0.0,225.0969,-0.0021,0.0696,17.5549,212.3614,48.8394,-16.4975,0.0,0.0,3.2066,-0.0017,6.0704,35.5516,11.664
134.0,269.0,11.6889,40.3817,0.0,224.7911,-0.0021,0.0704,17.2222,212.3614,48.8394,-16.4975,0.0,0.0,3.2034,-0.002,6.0709,35.5518,11.6541
135.0,271.0,11.6776,40.372,0.0,221.0253,-0.0021,0.0705,17.1811,212.3615,48.8394,-16.4975,0.0,0.0,3.1673,-0.0051,6.0729,35.552,11.6425
136.0,273.0,11.6602,40.3536,0.0,221.9021,-0.0021,0.0705,17.1527,212.3616,48.8394,-16.4974,0.0,0.0,3.1619,0.0003,6.0751,35.5496,11.6249
137.0,275.0,11.6454,40.3383,0.0,225.0732,-0.0021,0.0706,17.1394,212.3616,48.8393,-16.4974,0.0,0.0,3.1829,0.0054,6.0764,35.548,11.6099
138.0,277.0,11.6424,40.3375,0.0,226.3955,-0.0021,0.0709,16.9897,212.3617,48.8393,-16.4974,0.0,0.0,3.2042,0.0028,6.0768,35.5491,11.6066
139.0,279.0,11.6361,40.3329,0.0,225.3732,-0.0021,0.0709,16.9811,212.3618,48.8393,-16.4974,0.0,0.0,3.202,-0.0012,6.0777,35.5498,11.6001
140.0,281.0,11.6292,40.327,0.0,225.0745,-0.0021,0.0701,17.334,212.3619,48.8393,-16.4974,0.0,0.0,3.1959,-0.0006,6.0785,35.5496,11.5929
141.0,283.0,11.6277,40.3265,0.0,225.155,-0.0021,0.0702,17.2887,212.3619,48.8393,-16.4974,0.0,0.0,3.1955,-0.0002,6.0785,35.5499,11.5913
142.0,285.0,11.6135,40.3121,0.0,225.0605,-0.0021,0.0704,17.2175,212.362,48.8393,-16.4974,0.0,0.0,3.193,-0.0004,6.0811,35.5482,11.5768
143.0,287.0,11.5998,40.2975,0.0,224.8646,-0.0021,0.0706,17.1139,212.3621,48.8393,-16.4974,0.0,0.0,3.1895,-0.0004,6.0826,35.5461,11.5628
144.0,289.0,11.5954,40.2937,0.0,224.7801,-0.0021,0.0716,16.6807,212.3621,48.8393,-16.4974,0.0,0.0,3.1874,-0.0003,6.0833,35.5456,11.5581
145.0,291.0,11.5846,40.2827,0.0,224.2569,-0.0021,0.0701,17.3334,212.3622,48.8393,-16.4974,0.0,0.0,3.1836,-0.0016,6.0847,35.5442,11.5471
146.0,293.0,11.5753,40.2742,0.0,225.0628,-0.0021,0.0718,16.6189,212.3623,48.8393,-16.4974,0.0,0.0,3.186,0.0005,6.086,35.544,11.5376
147.0,295.0,11.5646,40.2636,0.0,225.3503,-0.0021,0.0714,16.7504,212.3623,48.8393,-16.4974,0.0,0.0,3.1885,0.0003,6.0873,35.5429,11.5267
148.0,297.0,11.5599,40.2595,0.0,225.3058,-0.0021,0.0718,16.6111,212.3624,48.8393,-16.4974,0.0,0.0,3.1888,-0.0001,6.0876,35.5426,11.5218
149.0,299.0,11.5574,40.2582,0.0,224.9815,-0.0021,0.0715,16.7529,212.3625,48.8393,-16.4974,0.0,0.0,3.1853,-0.0007,6.0883,35.5427,11.5189
150.0,301.0,11.5533,40.2548,0.0,225.335,-0.0021,0.0713,16.8112,212.3625,48.8393,-16.4974,0.0,0.0,3.1858,0.0003,6.0883,35.5425,11.5147
